,2018-06-08,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-18,2018-06-19,2018-06-20,2018-06-21
SPY,0.14115185823283283,0.14440655683825643,0.14612097304405003,0.13690451850337348,0.14121356043236166,0.1368503097181768,0.13979558193208041,0.12605248099403266,0.1356322785070574,0.1315908623173494
AMD,0.1821705426356588,0.28094462540716614,0.31100082712985944,0.36454849498327757,0.38062871707731527,0.4208695652173913,0.4956293706293706,0.398994132439229,0.30696202531645556,0.14949213161659514
TSLA,-0.14145945945945937,-0.07058099182805322,-0.04523550876020166,-0.08290996143104146,-0.06026375242999005,-0.0457451910268023,-0.001534733441033942,-0.04664683612763654,-0.02691811734364924,-0.06394075451647185
BAC,0.30648672181105807,0.26996197718631154,0.25735912531539107,0.25536390408077403,0.24158249158249157,0.2438402718776551,0.25480153649167736,0.22375575073191145,0.24478501489995752,0.2585386943363597
FB,0.22228685928511394,0.28034759358288763,0.29614659121530584,0.2769445181842314,0.30988352745424286,0.3074098798397862,0.3164498141263943,0.2918819912343822,0.3267651888341543,0.31083100513287
JD,-0.04770992366412219,0.016410256410256396,0.05736868944416118,0.05042016806722671,0.13932291666666674,0.1434942287513119,0.1464500916950484,0.05410166079516854,0.07146529562982007,-0.009247992212217171
T,-0.12129870129870135,-0.11884506316060839,-0.12080880470949573,-0.1670113753877973,-0.1601239669421487,-0.14649845520082405,-0.17376796714579068,-0.16756617836031862,-0.17227108122090007,-0.15999213630406284
AAPL,0.2368539905800373,0.28359511343804544,0.3222390317700454,0.30090729244832515,0.3144116836594104,0.3087532053503361,0.32663245940816754,0.2688943556102228,0.2861181987449142,0.2797696579145814
MU,0.8918335901386747,1.0062091503267974,0.9407051282051282,0.9039315155358274,0.9053444945267226,0.9054319371727748,0.9574681848626927,0.8990384615384617,0.9120986052546223,0.865042174320525
INTC,0.509046052631579,0.5267432091851023,0.5342849146375597,0.5337235228539576,0.5631860399662256,0.5607476635514017,0.5115024140869071,0.49056603773584917,0.5335628227194493,0.5148785425101217
SNAP,-0.30610079575596827,-0.2715707964601769,-0.2626373626373626,-0.24751381215469626,-0.22427293064876963,-0.17529411764705882,-0.19897377423033058,-0.25559284116331094,-0.2605430387059502,-0.240011580775912
BABA,0.44070535337923267,0.475186460126219,0.5033074489502445,0.5125915080527088,0.5428404185263775,0.5398282499259697,0.5464521390969079,0.4657632465763246,0.4903165197282844,0.41217112150184954
NXPI,0.10015563489883728,0.08942715048811944,0.06496026612456118,0.02144624690679131,0.03422714377230718,0.03816513761467877,0.021633513612613342,-0.0014658726523134602,0.03596330275229365,0.03664010259228734
GE,-0.4951069227981153,-0.4996420901932713,-0.5169315825846579,-0.511775043936731,-0.5245730219588707,-0.5404284727021423,-0.5448275862068965,-0.5503472222222223,-0.5421258442943476,-0.5426565874730022
TWTR,1.3428084138715182,1.4508875739644975,1.552230046948357,1.596935769004125,1.789976133651551,1.7213309566250743,1.759448110377924,1.6348182883939044,1.727971614429332,1.5402137232845892
NFLX,1.1736797685073546,1.2872239448206035,1.4024696249339672,1.4877553693033003,1.5812746386333774,1.5828940432261467,1.5620160126000786,1.640026075619296,1.7409404801052282,1.678159065987228
AMZN,0.6668712324428123,0.7265692878535432,0.7605268885181002,0.7382518174124939,0.7653998586746136,0.7797380130060052,0.7452389871520992,0.743199654330416,0.7631449037366886,0.7352388174371152
VRX,0.944947209653092,1.1134185303514377,1.1027667984189722,1.1556982343499196,1.1508828250401284,1.216171617161716,0.8609794628751974,0.7995545657015588,0.8737642585551331,0.8150584795321636
SBUX,-0.09061696658097684,-0.09181540440585301,-0.07847936041768644,-0.07731451083388052,-0.05392400862784141,-0.0495922782492928,-0.04855337545726646,-0.056978653530377676,-0.12763113932509185,-0.14943295530353573
C,0.08321468122132569,0.05678820791311079,0.05115049751243794,0.04019168341320145,0.02224969097651419,0.03494539781591288,0.0447644388793238,0.035669975186104264,0.0542951024878735,0.050603164656117805
MSFT,0.4125086865879082,0.4370022753128555,0.4518486672398969,0.4274593064401979,0.44329016650064057,0.4324749642346206,0.44085714285714284,0.42316918301114703,0.45715920469174676,0.4449267112565818
IQ,,,,,,,,,,
NVDA,0.6398649493560085,0.7421122994652407,0.7508835100353404,0.7331571994715982,0.759227524387029,0.7408938767473912,0.7483841181902122,0.6537630307653193,0.669807116939334,0.6193014360067726
JPM,0.3079458505002943,0.27449402023919056,0.26684295240285105,0.26011229517589096,0.2404409231829141,0.24639020445881954,0.2552796472499419,0.22118769160894747,0.2287477148080439,0.22842056932966015
GOOGL,0.1278826622057594,0.17604007751618367,0.19378047639346652,0.17901081916537875,0.198547415618898,0.20734653919056845,0.2346706724249441,0.2086401017206374,0.22196307495433376,0.20115676636793767
WFC,0.05936073059360725,0.03178438661710037,0.023849140321686058,0.013039485766758396,0.0038510911424904926,0.020037105751391504,0.022082018927444658,0.015486725663716783,0.019079685746352437,0.02312193280483199
F,0.09009009009009006,0.08086253369272223,0.07358156028368801,0.06654835847382423,0.05971479500891275,0.05693950177935947,0.06862745098039214,0.057829181494661874,0.06744604316546754,0.06411231884057988
SQ,1.4931396287328491,1.6613113330438556,1.6783898305084746,1.6618398637137988,1.7217724755006394,1.6877865777407255,1.8098471986417661,1.7256198347107436,1.8339622641509434,1.7963576158940397
VZ,0.06473262610954755,0.05522260273972601,0.03432930705657977,0.02023245802841145,0.024202184621974876,0.030445969125214356,0.01779969976410034,0.04144298904874377,0.04680017414018289,0.07386698964985694
